formula,synonym,description
PmPO4,Promethium(III) phosphate,"Promethium(III) phosphate is an inorganic compound, a salt of promethium and phosphate, with the chemical formula of PmPO4. It is radioactive. Its hydrate can be obtained by precipitation of soluble promethium salt and diammonium hydrogen phosphate at pH 3~4 (or obtained by hydrothermal reaction ), and the hydrate can be obtained by burning at 960 °C to obtain the anhydrous form. Its standard enthalpy of formation is −464 kcal/mol.
"
PoBr2,polonium dibromide,"Polonium dibromide (also known as polonium(II) bromide) is a chemical compound with the formula PoBr2. This salt is a purple-brown crystalline solid at room temperature. It sublimes (decomposing slightly) at 110 °C/30 μ and decomposes when melted in nitrogen gas at 270–280 °C.
"
PbSO4,lead(II) sulfate,"soluble in ammonium tartrate in presence of ammonium chloride and ammonia
"
PrCl3,Praseodymium(III) chloride,"Praseodymium(III) chloride is the inorganic compound with the formula PrCl3. Like other lanthanide trichlorides, it exists both in the anhydrous and hydrated forms. It is a blue-green solid that rapidly absorbs water on exposure to moist air to form a light green heptahydrate.
"
Pr2(SO4)3,Praseodymium(III) sulfate,"Praseodymium(III) sulfate is a praseodymium compound with formula Pr2(SO4)3. It is an odourless whitish-green crystalline compound. The anhydrous substance readily absorbs water forming pentahydrate and octahydrate.
"
PrBr3,Praseodymium(III) bromide,"Praseodymium(III) bromide is a crystalline compound of one praseodymium atom and three bromine atoms.
"
Pr2(CO3)3,Praseodymium(III) carbonate,"Praseodymium(III) carbonate is an inorganic compound, with a chemical formula of Pr2(CO3)3. The anhydrous form is olive green, and many of its hydrates such as heptahydrate and octahydrate are known. They are all insoluble in water.
"
PrCl3,Praseodymium(III) chloride,"Praseodymium(III) chloride is the inorganic compound with the formula PrCl3. Like other lanthanide trichlorides, it exists both in the anhydrous and hydrated forms. It is a blue-green solid that rapidly absorbs water on exposure to moist air to form a light green heptahydrate.
"
PrF3,Praseodymium(III) fluoride,"Praseodymium(III) fluoride is an inorganic compound with the formula PrF3, being the most stable fluoride of praseodymium.
"
PrI3,Praseodymium(III) iodide,"Praseodymium(III) iodide is an inorganic salt, consisting of the rare-earth metal praseodymium and iodine, with the chemical formula PrI3. It forms green crystals. It is soluble in water.
"
Pr(NO3)3,Praseodymium(III) nitrate,"Praseodymium(III) nitrate is a green-colored chemical compound with the chemical formula Pr(NO3)3. It is very hygroscopic and forms a hexahydrate. It is soluble in polar solvents.
"
Pr2O3,Praseodymium(III) oxide,"Praseodymium(III) oxide, praseodymium oxide or praseodymia is the chemical compound composed of praseodymium and oxygen with the formula Pr2O3. It forms light green hexagonal crystals. Praseodymium(III) oxide crystallizes in the manganese(III) oxide or bixbyite structure.
"
PCl5,phosphorus pentachloride,"Phosphorus pentachloride is the chemical compound with the formula PCl5. It is one of the most important phosphorus chlorides/oxychlorides, others being PCl3 and POCl3. PCl5 finds use as a chlorinating reagent.  It is a colourless, water-sensitive solid, although commercial samples can be yellowish and contaminated with hydrogen chloride.
"
PrPO4,Praseodymium(III) phosphate,"Praseodymium(III) phosphate is an inorganic compound with the chemical formula PrPO4. 
"
Pr2S3,Praseodymium(III) sulfide,"Praseodymium(III) sulfide is an inorganic chemical compound with chemical formula Pr2S3.
"
PmCl3,Promethium(III) chloride,"Promethium(III) chloride is a chemical compound of promethium and chlorine with the formula PmCl3. It is an ionic, water soluble, crystalline salt that glows in the dark with a pale blue or green light due to promethium's intense radioactivity. 
"
Pm2O3,Promethium(III) oxide,"Promethium(III) oxide is a compound with the formula Pm2O3. It is the most common form of promethium.
"
PmBr3,Promethium(III) bromide,"Promethium(III) bromide is an inorganic compound, with the chemical formula of PmBr3. It is radioactive salt. It is a crystal of the hexagonal crystal system, with the space group of P63/mc (No. 176).
"
Pm2(CO3)3,Promethium(III) carbonate (page does not exist),"Other reasons this message may be displayed:
"
PmCl3,Promethium(III) chloride,"Promethium(III) chloride is a chemical compound of promethium and chlorine with the formula PmCl3. It is an ionic, water soluble, crystalline salt that glows in the dark with a pale blue or green light due to promethium's intense radioactivity. 
"
PmF3,Promethium(III) fluoride,"Promethium(III) fluoride or promethium trifluoride is a salt of promethium and fluorine with the formula PmF3. 
"
PmI3,Promethium(III) iodide,"Promethium(III) iodide is an inorganic compound, with the chemical formula of PmI3. It is a red radioactive solid with a melting point of 695 °C.
"
Pm(NO3)3,Promethium(III) nitrate,"Promethium(III) nitrate is an inorganic compound, a salt of promethium and nitric acid with the chemical formula Pm(NO3)3. The compound is radioactive, soluble in water and forms crystalline hydrates.
"
Pr2(SO4)3,Praseodymium(III) sulfate,"Praseodymium(III) sulfate is a praseodymium compound with formula Pr2(SO4)3. It is an odourless whitish-green crystalline compound. The anhydrous substance readily absorbs water forming pentahydrate and octahydrate.
"
POCl3,phosphoryl chloride,"Phosphoryl chloride (commonly called phosphorus oxychloride) is a colourless liquid with the formula POCl3. It hydrolyses in moist air releasing phosphoric acid and fumes of hydrogen chloride. It is manufactured industrially on a large scale from phosphorus trichloride and oxygen or phosphorus pentoxide. It is mainly used to make phosphate esters.
"
P2I4,diphosphorus tetraiodide,"Diphosphorus tetraiodide is an orange crystalline solid with the formula P2I4. It has been used as a reducing agent in organic chemistry.  It is a rare example of a compound with phosphorus in the +2 oxidation state, and can be classified as a subhalide of phosphorus.  It is the most stable of the diphosphorus tetrahalides.
"
P2O5,phosphorus pentoxide,"Phosphorus pentoxide is a chemical compound with molecular formula P4O10 (with its common name derived from its empirical formula, P2O5). This white crystalline solid is the anhydride of phosphoric acid. It is a powerful desiccant and dehydrating agent.
"
PbS,lead(II) sulfide,"Lead(II) sulfide (also spelled sulphide) is an inorganic compound with the formula PbS. Galena is the principal ore and the most important compound of lead. It is a semiconducting material with niche uses.
"
Pm2(SO4)3,Promethium(III) sulfate (page does not exist),"Other reasons this message may be displayed:
"
PbO,lead(II) oxide,"Lead(II) oxide, also called lead monoxide, is the inorganic compound with the molecular formula PbO. PbO occurs in two polymorphs: litharge having a tetragonal crystal structure, and massicot having an orthorhombic crystal structure. Modern applications for PbO are mostly in lead-based industrial glass and industrial ceramics, including computer components. It is an amphoteric oxide.
"
PbF2,lead(II) fluoride,"Lead(II) fluoride is the inorganic compound with the formula PbF2.  It is a white solid.  The compound is polymorphic, at ambient temperatures it exists in orthorhombic (PbCl2 type) form, while at high temperatures it is cubic (Fluorite type).
"
PbCrO4,lead chromate,"Lead(II) chromate is an inorganic compound with the chemical formula PbCrO4. It has a vivid yellow color and is generally insoluble. Two polymorphs of lead chromate are known, orthorhombic and the more stable monoclinic form. Monoclinic lead chromate is used in paints under the name chrome yellow, and many other names. It occurs also as the mineral crocoite.
"
PbCO3,lead carbonate,"Lead(II) carbonate is the chemical compound with the chemical formula PbCO3. It is a white solid with several practical uses, despite its toxicity. It occurs naturally as the mineral cerussite.
"
PbC2O4,lead oxalate,"Lead(II) oxalate is an organic compound with the formula PbC2O4. It is naturally found as a heavy white solid.
"
Pb(OH)4,lead(IV) hydroxide,"Lead(IV) hydroxide, Pb(OH)4, also called ortho-plumbic acid, is the notional conjugate acid of the ortho-plumbate(IV) ion, PbO4−4, found in compounds such as calcium orthoplumbate, Ca2PbO4.[citation needed] Like its tin analog Sn(OH)4, Pb(OH)4 has not been isolated.
"
Pb(OH)2,lead(II) hydroxide,"Lead(II) hydroxide, Pb(OH)2, is a hydroxide of lead, with lead in oxidation state +2.
"
Pb(NO3)2,lead(II) nitrate,"Lead(II) nitrate is an inorganic compound with the chemical formula Pb(NO3)2. It commonly occurs as a colourless crystal or white powder and, unlike most other lead(II) salts, is soluble in water.
"
Pb(N3)2,lead(II) nitride,NO DESCRIPTION
Pb(IO3)2,lead(II) iodate,"Lead(II) iodate is an inorganic compound with the molecular formula Pb(IO3)2.  It is naturally found as heavy white powder.
"
PbI2,lead(II) iodide,"Lead(II) iodide (or lead iodide) is a chemical compound with the formula PbI2. At room temperature, it is a bright yellow odorless crystalline solid, that becomes orange and red when heated. It was formerly called plumbous iodide.
"
PbHAsO4,lead hydrogen arsenate,"Lead hydrogen arsenate, also called lead arsenate, acid lead arsenate or LA, chemical formula PbHAsO4, is an inorganic insecticide used primarily against the potato beetle.[citation needed]
Lead arsenate was the most extensively used arsenical insecticide. Two principal formulations of lead arsenate were marketed: basic lead arsenate (Pb5OH(AsO4)3, CASN: 1327-31-7) and acid lead arsenate (PbHAsO4).
"
PbCl4,lead(IV) chloride,"Lead tetrachloride, also known as lead(IV) chloride, has the molecular formula PbCl4. It is a yellow, oily liquid which is stable below 0 °C, and decomposes at 50 °C. It has a tetrahedral configuration, with lead as the central atom. The Pb–Cl covalent bonds have been measured to be 247 pm and the bond energy is 243 kJ⋅mol−1.
"
PbCl2,lead(II) chloride,"Soluble in hot water as well as in presence of alkali hydroxide
"
POCl3,phosphoryl chloride,"Phosphoryl chloride (commonly called phosphorus oxychloride) is a colourless liquid with the formula POCl3. It hydrolyses in moist air releasing phosphoric acid and fumes of hydrogen chloride. It is manufactured industrially on a large scale from phosphorus trichloride and oxygen or phosphorus pentoxide. It is mainly used to make phosphate esters.
"
PH3,phosphine,"Phosphine (IUPAC name: phosphane) is a colorless, flammable, highly toxic compound with the chemical formula PH3, classed as a pnictogen hydride. Pure phosphine is odorless, but technical grade samples have a highly unpleasant odor like rotting fish, due to the presence of substituted phosphine and diphosphane (P2H4). With traces of P2H4 present, PH3 is spontaneously flammable in air (pyrophoric), burning with a luminous flame. Phosphine is a highly toxic respiratory poison, and is immediately dangerous to life or health at 50 ppm. Phosphine has a trigonal pyramidal structure.
"
P3N5,triphosphorus pentanitride,"Triphosphorus pentanitride is an inorganic compound with the chemical formula P3N5. Containing only phosphorus and nitrogen, this material is classified as a binary nitride. While it has been investigated for various applications this has not led to any significant industrial uses. It is a white solid, although samples often appear colored owing to impurities.
"
P2Se3,diphosphorus triselenide,NO DESCRIPTION
P2S3,diphosphorus trisulfide,"Diphosphorus trisulfide (sometimes called phosphorus trisulfide) is a phosphorus sulfide with the formula of P2S3. The substance is highly unstable and difficult to study.
"
Pb2,diplumbyne,NO DESCRIPTION
PbO2,lead dioxide,"Lead(IV) oxide, commonly known as lead dioxide, is an inorganic compound with the chemical formula PbO2. It is an oxide where lead is in an oxidation state of +4. It is a dark-brown solid which is insoluble in water. It exists in two crystalline forms. It has several important applications in electrochemistry, in particular as the positive plate of lead acid batteries.
"
P4S10,Phosphorus pentasulfide,"Phosphorus pentasulfide is the inorganic compound with the formula P2S5 (empirical) or P4S10 (molecular). This yellow solid is the one of two phosphorus sulfides of commercial value. Samples often appear greenish-gray due to impurities. It is soluble in carbon disulfide but reacts with many other solvents such as alcohols, DMSO, and DMF.
"
Pb(ZrxTi1−xO3),Lead zirconate titanate,"Lead zirconate titanate, also called lead zirconium titanate and commonly abbreviated as PZT, is an inorganic compound with the chemical formula Pb[ZrxTi1−x]O3 (0 ≤ x ≤ 1). It is a ceramic perovskite material that shows a marked piezoelectric effect, meaning that the compound changes shape when an electric field is applied. It is used in a number of practical applications such as ultrasonic transducers and piezoelectric resonators. It is a white to off-white solid.
"
PbBr2,Lead(II) bromide,"Lead(II) bromide is the inorganic compound with the formula PbBr2. It is a white powder.  It is produced in the burning of typical leaded gasolines.
"
Pb(CO3),Lead(II) carbonate,"Lead(II) carbonate is the chemical compound with the chemical formula PbCO3. It is a white solid with several practical uses, despite its toxicity. It occurs naturally as the mineral cerussite.
"
PbCl2,Lead(II) chloride,"Soluble in hot water as well as in presence of alkali hydroxide
"
PbF2,Lead(II) fluoride,"Lead(II) fluoride is the inorganic compound with the formula PbF2.  It is a white solid.  The compound is polymorphic, at ambient temperatures it exists in orthorhombic (PbCl2 type) form, while at high temperatures it is cubic (Fluorite type).
"
Pb(OH)2,Lead(II) hydroxide,"Lead(II) hydroxide, Pb(OH)2, is a hydroxide of lead, with lead in oxidation state +2.
"
PbI2,Lead(II) iodide,"Lead(II) iodide (or lead iodide) is a chemical compound with the formula PbI2. At room temperature, it is a bright yellow odorless crystalline solid, that becomes orange and red when heated. It was formerly called plumbous iodide.
"
Pb(NO3)2,Lead(II) nitrate,"Lead(II) nitrate is an inorganic compound with the chemical formula Pb(NO3)2. It commonly occurs as a colourless crystal or white powder and, unlike most other lead(II) salts, is soluble in water.
"
Pb3(PO4)2,Lead(II) phosphate,"Lead(II) phosphate is an ionic compound with chemical formula Pb3(PO4)2.  Lead(II) phosphate is a long-lived electronically neutral reagent chemical. Despite limited tests on humans, it has been identified as a carcinogen based on tests on animals conducted by the EPA.  Lead(II) phosphate appears as hexagonal, colorless crystals or as a white powder. Lead(II) phosphate is insoluble in water and alcohol but soluble in nitric acid (HNO3) and fused alkali metal hydroxides. When lead(II) phosphate is heated for decomposition it emits very toxic fumes containing Lead (Pb) and POx.
"
Pb(SO4),Lead(II) sulfate,"soluble in ammonium tartrate in presence of ammonium chloride and ammonia
"
Pb3O4,"Lead(II,IV) oxide","Lead(II,IV) oxide, also called red lead or minium, is the inorganic compound with the formula Pb3O4. A bright red or orange solid, it is used as pigment, in the manufacture of batteries, and rustproof primer paints. It is an example of a mixed valence compound, being composed of both Pb(II) and Pb(IV) in the ratio of two to one.
"
PbO2,Lead(IV) oxide,"Lead(IV) oxide, commonly known as lead dioxide, is an inorganic compound with the chemical formula PbO2. It is an oxide where lead is in an oxidation state of +4. It is a dark-brown solid which is insoluble in water. It exists in two crystalline forms. It has several important applications in electrochemistry, in particular as the positive plate of lead acid batteries.
"
PbS2,Lead(IV) sulfide,"Lead(IV) sulfide is a chemical compound with the formula PbS2. This material is generated by the reaction of the more common lead(II) sulfide, PbS, with sulfur at >600 °C and at high pressures. PbS2, like the related tin(IV) sulfide SnS2, crystallises in the cadmium iodide motif, which indicates that Pb should be assigned the formal oxidation state of 4+.
"
PbHAsO4,Lead hydrogen arsenate,"Lead hydrogen arsenate, also called lead arsenate, acid lead arsenate or LA, chemical formula PbHAsO4, is an inorganic insecticide used primarily against the potato beetle.[citation needed]
Lead arsenate was the most extensively used arsenical insecticide. Two principal formulations of lead arsenate were marketed: basic lead arsenate (Pb5OH(AsO4)3, CASN: 1327-31-7) and acid lead arsenate (PbHAsO4).
"
PbCl4,Lead tetrachloride,"Lead tetrachloride, also known as lead(IV) chloride, has the molecular formula PbCl4. It is a yellow, oily liquid which is stable below 0 °C, and decomposes at 50 °C. It has a tetrahedral configuration, with lead as the central atom. The Pb–Cl covalent bonds have been measured to be 247 pm and the bond energy is 243 kJ⋅mol−1.
"
PbF4,Lead tetrafluoride,"Lead tetrafluoride is a compound of lead and fluorine.  The yellow solid (melting point 600 °C) is the only room-temperature stable tetrahalide of lead. Lead tetrafluoride is isostructural with tin(IV) fluoride and contains planar layers of octahedrally coordinated lead, where the octahedra share four corners and there are two terminal, unshared, fluorine atoms trans to one another.
"
Pb3O4,Lead tetroxide,"Lead(II,IV) oxide, also called red lead or minium, is the inorganic compound with the formula Pb3O4. A bright red or orange solid, it is used as pigment, in the manufacture of batteries, and rustproof primer paints. It is an example of a mixed valence compound, being composed of both Pb(II) and Pb(IV) in the ratio of two to one.
"
PbTiO3,Lead titanate,"Lead(II) titanate is an inorganic compound with the chemical formula PbTiO3. It is the lead salt of titanic acid. Lead(II) titanate is a yellow powder that is insoluble in water.
"
Pb[TixZr1−x]O3,Lead zirconate titanate,"Lead zirconate titanate, also called lead zirconium titanate and commonly abbreviated as PZT, is an inorganic compound with the chemical formula Pb[ZrxTi1−x]O3 (0 ≤ x ≤ 1). It is a ceramic perovskite material that shows a marked piezoelectric effect, meaning that the compound changes shape when an electric field is applied. It is used in a number of practical applications such as ultrasonic transducers and piezoelectric resonators. It is a white to off-white solid.
"
PbH4,Plumbane,"Plumbane is an inorganic chemical compound with the chemical formula PbH4. It is a colorless gas. It is a metal hydride and group 14 hydride composed of lead and hydrogen. Plumbane is not well characterized or well known, and it is thermodynamically unstable with respect to the loss of a hydrogen atom. Derivatives of plumbane include lead tetrafluoride, PbF4, and tetraethyllead, (CH3CH2)4Pb.
"
Pb(N3)2,Lead(II) azide,"Lead(II) azide  Pb(N3)2 is an inorganic compound. More so than other azides, it is explosive. It is used in detonators to initiate secondary explosives. In a commercially usable form, it is a white to buff powder.
"
[PtCl2(NH3)2],Cisplatin,"Cisplatin is a chemical compound with formula cis-[Pt(NH3)2Cl2]. It is a coordination complex of platinum that is used as a chemotherapy medication used to treat a number of cancers. These include testicular cancer, ovarian cancer, cervical cancer, bladder cancer, head and neck cancer, esophageal cancer, lung cancer, mesothelioma, brain tumors and neuroblastoma. It is given by injection into a vein.
"
Pb(CNS)2,Lead(II) thiocyanate,"Lead(II) thiocyanate is a compound, more precisely a salt, with the formula Pb(SCN)2. It is a white crystalline solid, but will turn yellow upon exposure to light. It is slightly soluble in water and can be converted to a basic salt (Pb(CNS)2·Pb(OH)2 when boiled. Salt crystals may form upon cooling. Lead thiocyanate can cause lead poisoning if ingested and can adversely react with many substances. It has use in small explosives, matches, and dyeing. 
"
PaCl5,Protactinium(V) chloride,"Protactinium(V) chloride is the chemical compound composed of protactinium and chlorine with the formula PaCl5. It forms yellow monoclinic crystals and has a unique structure composed of chains of 7 coordinate, pentagonal bipyramidal, protactinium atoms sharing edges.
"
PBr3,Phosphorus tribromide,"Phosphorus tribromide is a colourless liquid with the formula PBr3.  The liquid fumes in moist air due to hydrolysis and has a penetrating odour.  It is used in the laboratory for the conversion of alcohols to alkyl bromides.
"
PBr5,Phosphorus pentabromide,"Phosphorus pentabromide is a reactive, yellow solid of formula PBr5, which has the structure [PBr4]+Br− (tetrabromophosphonium bromide) in the solid state but in the vapor phase is completely dissociated to PBr3 and Br2. Rapid cooling of this phase to 15 K leads to formation of the ionic species phosphorus heptabromide (tetrabromophosphonium tribromide [PBr4]+[Br3]−).
"
PbBr2,Lead(II) bromide,"Lead(II) bromide is the inorganic compound with the formula PbBr2. It is a white powder.  It is produced in the burning of typical leaded gasolines.
"
PrCl3,Praseodymium(III) chloride,"Praseodymium(III) chloride is the inorganic compound with the formula PrCl3. Like other lanthanide trichlorides, it exists both in the anhydrous and hydrated forms. It is a blue-green solid that rapidly absorbs water on exposure to moist air to form a light green heptahydrate.
"
PuCl3,Plutonium(III) chloride,"Plutonium(III) chloride is a chemical compound with the formula PuCl3. This ionic plutonium salt can be prepared by reacting the metal with hydrochloric acid.
"
(PNCl)3,Phosphonitrilic chloride trimer,"Hexachlorophosphazene is an inorganic compound with the formula (NPCl2)3. The molecule has a cyclic, unsaturated backbone consisting of alternating phosphorus and nitrogen centers, and can be viewed as a trimer of the hypothetical compound N≡PCl2. Its classification as a phosphazene highlights its relationship to benzene. There is large academic interest in the compound relating to the phosphorus-nitrogen bonding and phosphorus reactivity.
"
PbCl2,Lead(II) chloride,"Soluble in hot water as well as in presence of alkali hydroxide
"
PCl5,Phosphorus pentachloride,"Phosphorus pentachloride is the chemical compound with the formula PCl5. It is one of the most important phosphorus chlorides/oxychlorides, others being PCl3 and POCl3. PCl5 finds use as a chlorinating reagent.  It is a colourless, water-sensitive solid, although commercial samples can be yellowish and contaminated with hydrogen chloride.
"
PCl3,Phosphorus trichloride,"Phosphorus trichloride is an inorganic compound with the chemical formula PCl3. A colorless liquid when pure, it is an important industrial chemical, being used for the manufacture of phosphites and other organophosphorus compounds. It is toxic and reacts readily with water to release hydrogen chloride.
"
PtCl2,Platinum(II) chloride,"Platinum(II) chloride is the chemical compound PtCl2. It is an important precursor used in the preparation of other platinum compounds. It exists in two crystalline forms, but the main properties are somewhat similar: dark brown, insoluble in water, diamagnetic, and odorless.
"
PtCl4,Platinum(IV) chloride,"Platinum(IV) chloride is the inorganic compound of platinum and chlorine with the empirical formula PtCl4. This brown solid features platinum in the 4+ oxidation state.
"
POCl3,Phosphorus oxychloride,"Phosphoryl chloride (commonly called phosphorus oxychloride) is a colourless liquid with the formula POCl3. It hydrolyses in moist air releasing phosphoric acid and fumes of hydrogen chloride. It is manufactured industrially on a large scale from phosphorus trichloride and oxygen or phosphorus pentoxide. It is mainly used to make phosphate esters.
"
RbIO2,rubidium iodite,NO DESCRIPTION
RbF,rubidium fluoride,"Rubidium fluoride (RbF) is the fluoride salt of rubidium. It is a cubic crystal with rock-salt structure.
"
RbH,rubidium hydride,"Rubidium hydride is the hydride of rubidium. With the formula RbH, it is classified as an alkali metal hydride. It is a white solid and is insoluble in most solvents. It is synthesized by treating rubidium metal with hydrogen. Rubidium hydride is a powerful superbase and reacts violently with water.
"
RbCNO,rubidium fulminate,NO DESCRIPTION
RbH2PO3,monorubidium phosphite,NO DESCRIPTION
RbH2PO4,monorubidium phosphate,NO DESCRIPTION
RbHS,rubidium hydrosulfide,NO DESCRIPTION
RbI,rubidium iodide,"Rubidium iodide is a salt of rubidium and iodine, with the chemical formula RbI. It is a white solid  with a melting point of 642 °C.
"
RbIO,rubidium hypoiodite,NO DESCRIPTION
RbN3,Rubidium azide,"Rubidium azide is an inorganic compound with the formula RbN3. It is the rubidium salt of the hydrazoic acid HN3. Like most azides, it is explosive.
"
RbIO3,rubidium iodate,NO DESCRIPTION
RbIO4,rubidium periodate,NO DESCRIPTION
RuCl3,ruthenium(III) chloride,"Ruthenium(III) chloride is the chemical compound with the formula RuCl3. ""Ruthenium(III) chloride"" more commonly refers to the hydrate RuCl3·xH2O. Both the anhydrous and hydrated species are dark brown or black solids. The hydrate, with a varying proportion of water of crystallization, often approximating to a trihydrate, is a commonly used starting material in ruthenium chemistry.
"
RnF2,radon difluoride,"Radon difluoride (RnF2) is a compound of radon, a radioactive noble gas.  Radon reacts readily with fluorine to form a solid compound, but this decomposes on attempted vaporization and its exact composition is uncertain.  Calculations suggest that it may be ionic, unlike all other known binary noble gas compounds. The usefulness of radon compounds is limited because of the radioactivity of radon.  The longest-lived isotope, radon-222, has a half-life of only 3.82 days, which decays by α-emission to yield polonium-218.
"
RbNO3,rubidium nitrate,"Rubidium nitrate is an inorganic compound with the formula RbNO3.  This alkali metal nitrate salt is white and highly soluble in water.
"
RbNO2,rubidium nitrite,NO DESCRIPTION
RbNbO3,rubidium niobate,NO DESCRIPTION
RbHSO4,rubidium bisulfate,NO DESCRIPTION
RbHSO3,rubidium bisulfite,NO DESCRIPTION
RbHCO3,rubidium bicarbonate,NO DESCRIPTION
Rb3PO4,trirubidium phosphate,NO DESCRIPTION
RbCNO,rubidium cyanate,NO DESCRIPTION
Rb3PO3,trirubidium phosphite,NO DESCRIPTION
Rb2HPO3,dirubidium phosphite,NO DESCRIPTION
Rb2SO4,rubidium sulfate,"Rubidium sulfate is a sulfate of rubidium. The molecular formula of the compound is Rb2SO4. The molecular weight of this compound is 266.999 g/mol. An acid sulfate of rubidium (rubidium hydrogen sulfate) can be formed.  It is soluble in water and is an aqueous solution.
"
Rb2SO3,rubidium sulfite,NO DESCRIPTION
Rb2S,rubidium sulfide,"Rubidium sulfide is an inorganic compound and a salt with the chemical formula Rb2S. It is a white solid with similar properties to other alkali metal sulfides.
"
Rb2CO3,rubidium carbonate,"Rubidium carbonate, Rb2CO3, is a convenient compound of rubidium; it is stable, not particularly reactive, and readily soluble in water, and is the form in which rubidium is usually sold.
"
Rb2O2,rubidium peroxide,"Rubidium peroxide is rubidium's peroxide with the chemical formula Rb2O2.
"
Rb2O,rubidium oxide,"Rubidium oxide is the chemical compound with the formula Rb2O. Rubidium oxide is highly reactive towards water, and therefore it would not be expected to occur naturally.  The rubidium content in minerals is often calculated and quoted in terms of Rb2O.  In reality, the rubidium is typically present as a component of (actually, an impurity in) silicate or aluminosilicate.  A major source of rubidium is lepidolite, KLi2Al(Al,Si)3O10(F,OH)2, wherein Rb sometimes replaces K.
"
RbOH,rubidium hydroxide,"Rubidium hydroxide  is the inorganic compound with the formula RbOH. It consists of rubidium cations and an equal number of hydroxide anions. It is a colorless solid that is commercially available as aqueous solutions from a few suppliers. Like other strong bases, rubidium hydroxide is highly caustic. Rubidium hydroxide is formed when rubidium metal reacts with water.
"
Rb2O,Rubidium oxide,"Rubidium oxide is the chemical compound with the formula Rb2O. Rubidium oxide is highly reactive towards water, and therefore it would not be expected to occur naturally.  The rubidium content in minerals is often calculated and quoted in terms of Rb2O.  In reality, the rubidium is typically present as a component of (actually, an impurity in) silicate or aluminosilicate.  A major source of rubidium is lepidolite, KLi2Al(Al,Si)3O10(F,OH)2, wherein Rb sometimes replaces K.
"
Rb2HPO4,dirubidium phosphate,NO DESCRIPTION
RbCN,rubidium cyanide,"Rubidium cyanide (chemical formula: RbCN) is the rubidium salt of hydrogen cyanide. It is a white solid, easily soluble in water, with a smell reminiscent of bitter almonds, and somewhat similar in appearance to sugar. Rubidium cyanide has chemical properties similar to potassium cyanide, and is similarly very toxic.
"
RbClO,rubidium hypochlorite,NO DESCRIPTION
RbClO3,rubidium chlorate,NO DESCRIPTION
RaF2,Radium fluoride,"Radium fluoride is an inorganic compound with a chemical formula of RaF2. This salt, like all radium compounds is highly radioactive. It can be coprecipitated with lanthanide fluorides. Radium fluoride has the same crystal form as calcium fluoride (fluorite).[citation needed]
"
RnF2,Radon difluoride,"Radon difluoride (RnF2) is a compound of radon, a radioactive noble gas.  Radon reacts readily with fluorine to form a solid compound, but this decomposes on attempted vaporization and its exact composition is uncertain.  Calculations suggest that it may be ionic, unlike all other known binary noble gas compounds. The usefulness of radon compounds is limited because of the radioactivity of radon.  The longest-lived isotope, radon-222, has a half-life of only 3.82 days, which decays by α-emission to yield polonium-218.
"
ReO2,Rhenium(IV) oxide,"Rhenium(IV) oxide or rhenium dioxide is the inorganic compound with the formula ReO2. This gray to black crystalline solid is a laboratory reagent that can be used as a catalyst. It adopts the rutile structure.
"
Re2O7,Rhenium(VII) oxide,"Rhenium(VII) oxide is the inorganic compound with the formula Re2O7.  This yellowish solid is the anhydride of HOReO3. Perrhenic acid, Re2O7·2H2O, is closely related to Re2O7.  Re2O7 is the raw material for all rhenium compounds, being the volatile fraction obtained upon roasting the host ore.
"
ReF7,Rhenium heptafluoride,"Rhenium heptafluoride is the compound with the formula ReF7. It is a yellow low melting solid and is the only thermally stable metal heptafluoride. It has a distorted pentagonal bipyramidal structure similar to IF7, which was confirmed by neutron diffraction at 1.5 K. The structure is non-rigid, as evidenced by electron diffraction studies.
"
ReF6,Rhenium hexafluoride,"Rhenium hexafluoride, also rhenium(VI) fluoride, (ReF6) is a compound of rhenium and fluorine and one of the seventeen known binary hexafluorides.
"
RhF6,Rhodium hexafluoride,"Rhodium hexafluoride, also rhodium(VI) fluoride, (RhF6) is the inorganic compound of rhodium and fluorine.  A black volatile solid, it is a highly reactive material, and a rare example of a rhodium(VI) compound. It is one of seventeen known binary hexafluorides.
"
Rh4F20,Rhodium pentafluoride,"Rhodium pentafluoride is an inorganic compound with the formula Rh4F20.  It is a red solid. It is prepared by fluorination of rhodium trifluoride at 400 °C.
"
RhCl3,Rhodium(III) chloride,"Rhodium(III) chloride refers to inorganic compounds with the formula RhCl3(H2O)n, where n varies from 0 to 3. These are diamagnetic solids featuring octahedral Rh(III) centres.  Depending on the value of n, the material is either a dense brown solid or a soluble reddish salt. The soluble trihydrated (n = 3) salt is widely used to prepare compounds used in homogeneous catalysis, notably for the industrial production of acetic acid and hydroformylation.
"
Rh(OH)3,Rhodium(III) hydroxide,"Rhodium(III) hydroxide is a chemical  compound with the formula Rh(OH)3.
"
RhI3,Rhodium(III) iodide,"Rhodium(III) iodide is an inorganic compound with the formula RhI3. It is a black solid.
"
